Fat,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5
25,27.58,27.96,28.35,28.73,29.12,29.5,29.89,30.27,30.66,31.04,31.42,31.81,32.19,32.58,33.71,34.1,34.5,34.89,35.28,36.19,36.59,36.99,37.39,37.78
26,28.96,29.35,29.73,30.12,30.5,30.89,31.27,31.66,32.04,32.42,32.81,33.19,33.58,33.96,35.11,35.5,35.9,36.29,36.68,37.6,38,38.4,38.8,39.19
27,30.35,30.73,31.12,31.5,31.89,32.27,32.66,33.04,33.43,33.81,34.19,35.31,35.64,35.98,36.32,36.65,36.99,37.32,37.66,38.54,38.88,39.22,39.56,39.9
28,31.62,31.98,32.28,32.61,33.66,33.99,34.33,34.66,35,35.34,35.67,36.01,36.34,36.68,37.54,37.89,38.23,38.57,38.91,40.08,40.43,40.77,41.12,41.47
29,32.3,32.63,32.96,33.29,34.36,34.69,35.03,35.36,35.7,36.08,36.37,36.71,37.04,37.38,38.25,38.6,38.94,39.28,39.62,40.8,41.15,41.47,41.76,42.05
30,32.99,33.32,33.65,33.98,35.06,35.39,35.73,36.06,36.4,36.68,36.96,37.24,37.52,37.8,38.62,38.91,39.19,39.48,39.76,40.89,41.18,41.47,41.76,42.05
